Species,Length,Muscle.d13C,Muscle.d15N,Muscle.CN,Liver.d13C,Liver.d15N,Liver.CN
Pollock,680,-18.60712236,16.43182914,3.199017568,-24.90755007,15.8859074,20.18606636
Pollock,260,-18.65759217,16.07292052,3.144900141,-24.3076708,13.02724001,35.29260701
Pollock,780,-22.92380026,16.02584254,21.14857873,-18.28912662,17.38178998,3.227001906
Pollock,260,-18.15801822,13.62083612,3.218252522,-24.03715762,12.70728572,24.48916049
Pollock,490,-19.54116121,13.51701627,3.114345947,-20.9799156,13.31723595,4.984608199
Pollock,600,-17.62789104,15.90312732,3.220083847,-22.80104715,15.12488111,21.07930878
Pollock,280,-17.90260082,15.49761359,3.206796459,-23.44114118,14.05517314,11.56071667
Pollock,640,-19.46784024,17.83747067,3.24308211,-26.04938075,16.56639136,28.37998052
Pollock,270,-18.58833632,16.43404817,3.120176927,-19.25965157,16.34485475,4.224751712
Pollock,510,-19.63562815,14.22311726,3.245059258,-23.04455927,14.58091983,11.19494254
Pollock,390,-17.57420634,15.47520186,3.222512834,-23.79465576,15.2452701,17.3694528
Pollock,460,-19.75055092,12.89572862,3.283367582,-22.99787113,11.03006325,33.4842716
Pollock,530,-20.00930088,14.68119697,3.156210291,-20.62807534,15.70233261,4.675593761
Pollock,420,-20.4889115,15.73502386,3.248085784,-25.88319011,13.03079821,28.79605749
Pollock,520,-20.15417834,14.79554414,3.183116081,-24.15784178,14.32682554,17.60964427
Pollock,280,-18.15755916,18.44642209,3.105230636,-19.82438459,17.16652253,4.719962331
Pollock,700,-18.78447821,17.71214047,3.234759057,-24.6747864,15.00733557,38.15189768
Pollock,510,-19.45825295,15.65857429,3.107975822,-22.61430784,14.81590682,6.326072949
Pollock,290,-19.16970285,15.56603999,3.212868971,-24.08635016,12.44913153,70.3762311
Pollock,260,-18.71409945,16.00549946,3.233847791,-24.76966347,12.97110894,40.81716702
Pollock,680,-18.58200294,17.29230056,3.180642788,-23.86450431,14.49959826,23.70916854
Pollock,540,-19.76348112,15.76285078,3.203360552,-26.25230059,15.29571914,27.51329844
Pollock,530,-20.40266498,14.38211056,3.216705496,-24.77031488,13.11426126,19.71509309
Pollock,700,-17.84526524,16.80606577,3.252206961,-23.34337312,13.33631753,33.88834038
Pollock,330,-17.96276124,17.28509413,3.148242605,-24.42989235,12.74204392,11.35612349
Pollock,310,-18.83233165,16.62523498,3.118934456,-21.10606651,16.27163691,5.503025987
Pollock,540,-19.99788768,14.14784249,3.226008164,-25.26163283,12.0282955,16.57810977
Pollock,470,-21.07216191,13.38549358,3.23435102,-28.47616356,11.47821944,33.35051034
Pollock,540,-20.67088874,14.12139251,3.268004273,-27.43253927,11.73032425,16.95411209
Pollock,660,-18.44069608,18.23790253,3.147390535,-23.91130524,16.82788099,19.23304716
Pollock,700,-18.13643676,19.0443183,3.27114666,-24.21379153,15.06435405,39.42791538
Pollock,640,-20.64223635,13.66809629,9.531556707,-18.19828829,16.98301432,3.300780834
Pollock,600,-19.20027048,18.13349281,3.12579074,-19.50480593,18.50981505,4.373548186
Pollock,500,-19.01807114,14.19420931,3.262616899,-25.19557702,12.84856235,33.38984646
